Player,Rank,Court,Surface,Best of,Age,weight_kg,height_cm,experience,T,Y
Escude N.,40.0,Outdoor,Hard,3,24.0,70.0,185.0,5.0,1,1
Escude N.,34.0,Outdoor,Hard,5,24.0,70.0,185.0,5.0,0,1
Escude N.,18.0,Outdoor,Grass,3,24.0,70.0,185.0,5.0,1,1
Escude N.,29.0,Indoor,Carpet,3,26.0,70.0,185.0,7.0,1,1
Escude N.,48.0,Indoor,Carpet,3,26.0,70.0,185.0,7.0,1,1
Escude N.,67.0,Outdoor,Hard,3,27.0,70.0,185.0,8.0,1,0
Escude N.,77.0,Outdoor,Hard,3,28.0,70.0,185.0,9.0,1,0
Escude N.,23.0,Outdoor,Clay,5,24.0,70.0,185.0,5.0,0,0
Escude N.,58.0,Indoor,Hard,3,25.0,70.0,185.0,6.0,1,0
Escude N.,61.0,Outdoor,Clay,5,27.0,70.0,185.0,8.0,0,1
Escude N.,67.0,Outdoor,Hard,3,28.0,70.0,185.0,9.0,0,0
Martin A.,55.0,Outdoor,Hard,3,22.0,73.0,175.0,5.0,1,1
Martin A.,87.0,Indoor,Carpet,3,22.0,73.0,175.0,5.0,0,1
Martin A.,41.0,Outdoor,Hard,3,23.0,73.0,175.0,6.0,0,1
Martin A.,37.0,Outdoor,Clay,3,24.0,73.0,175.0,7.0,1,1
Martin A.,68.0,Outdoor,Hard,3,24.0,73.0,175.0,7.0,0,1
Martin A.,61.0,Outdoor,Clay,3,25.0,73.0,175.0,8.0,1,1
Martin A.,61.0,Outdoor,Clay,3,25.0,73.0,175.0,8.0,1,1
Martin A.,61.0,Outdoor,Clay,3,27.0,73.0,175.0,10.0,1,1
Martin A.,97.0,Outdoor,Grass,3,31.0,73.0,175.0,14.0,1,1
Martin A.,129.0,Outdoor,Clay,3,32.0,73.0,175.0,15.0,0,1
Martin A.,56.0,Outdoor,Clay,3,24.0,73.0,175.0,7.0,1,0
Martin A.,57.0,Indoor,Hard,3,25.0,73.0,175.0,8.0,1,0
Martin A.,57.0,Outdoor,Clay,3,26.0,73.0,175.0,9.0,0,1
Martin A.,56.0,Outdoor,Clay,3,27.0,73.0,175.0,10.0,0,0
Martin A.,48.0,Outdoor,Clay,3,28.0,73.0,175.0,11.0,0,0
Martin A.,138.0,Outdoor,Hard,3,30.0,73.0,175.0,13.0,0,0
Martin A.,117.0,Indoor,Hard,3,31.0,73.0,175.0,14.0,0,0
Hantschk M.,128.0,Outdoor,Hard,3,23.0,85.0,188.0,4.0,1,1
Hantschk M.,195.0,Outdoor,Hard,3,24.0,85.0,188.0,5.0,0,0
Schuettler R.,47.0,Outdoor,Hard,3,24.0,75.0,180.0,5.0,0,1
Schuettler R.,67.0,Outdoor,Hard,5,24.0,75.0,180.0,5.0,1,1
Schuettler R.,54.0,Outdoor,Grass,5,25.0,75.0,180.0,6.0,1,1
Schuettler R.,44.0,Outdoor,Hard,3,25.0,75.0,180.0,6.0,1,1
Schuettler R.,24.0,Outdoor,Grass,5,26.0,75.0,180.0,7.0,1,1
Schuettler R.,38.0,Outdoor,Hard,3,27.0,75.0,180.0,8.0,1,1
Schuettler R.,13.0,Outdoor,Clay,3,27.0,75.0,180.0,8.0,1,1
Schuettler R.,8.0,Outdoor,Hard,3,27.0,75.0,180.0,8.0,1,1
Schuettler R.,6.0,Outdoor,Clay,3,28.0,75.0,180.0,9.0,1,1
Schuettler R.,89.0,Outdoor,Clay,3,29.0,75.0,180.0,10.0,1,1
Schuettler R.,97.0,Outdoor,Grass,3,32.0,75.0,180.0,13.0,0,1
Schuettler R.,30.0,Outdoor,Grass,3,33.0,75.0,180.0,14.0,1,0
Schuettler R.,52.0,Outdoor,Grass,3,25.0,75.0,180.0,6.0,0,1
Schuettler R.,40.0,Outdoor,Hard,3,26.0,75.0,180.0,7.0,1,0
Schuettler R.,32.0,Outdoor,Clay,3,26.0,75.0,180.0,7.0,0,1
Schuettler R.,25.0,Outdoor,Clay,3,26.0,75.0,180.0,7.0,1,0
Schuettler R.,26.0,Outdoor,Hard,3,26.0,75.0,180.0,7.0,0,0
Schuettler R.,27.0,Indoor,Carpet,3,28.0,75.0,180.0,9.0,0,0
Schuettler R.,38.0,Indoor,Carpet,3,29.0,75.0,180.0,10.0,0,1
Schuettler R.,89.0,Outdoor,Clay,3,29.0,75.0,180.0,10.0,0,0
Schuettler R.,93.0,Indoor,Carpet,3,30.0,75.0,180.0,11.0,0,0
Schuettler R.,76.0,Outdoor,Clay,3,30.0,75.0,180.0,11.0,0,1
Schuettler R.,82.0,Outdoor,Grass,5,30.0,75.0,180.0,11.0,0,1
Schuettler R.,141.0,Outdoor,Hard,3,31.0,75.0,180.0,12.0,1,0
Schuettler R.,87.0,Outdoor,Clay,3,32.0,75.0,180.0,13.0,0,0
Schuettler R.,97.0,Outdoor,Grass,3,32.0,75.0,180.0,13.0,0,0
Schuettler R.,29.0,Outdoor,Grass,5,33.0,75.0,180.0,14.0,0,0
Schuettler R.,81.0,Outdoor,Clay,3,33.0,75.0,180.0,14.0,1,0
Schuettler R.,90.0,Indoor,Hard,3,34.0,75.0,180.0,15.0,0,0
Schuettler R.,113.0,Outdoor,Grass,5,35.0,75.0,180.0,16.0,0,1
Koubek S.,40.0,Outdoor,Hard,3,23.0,68.0,175.0,6.0,1,1
Koubek S.,38.0,Outdoor,Clay,3,23.0,68.0,175.0,6.0,0,1
Koubek S.,44.0,Outdoor,Hard,3,23.0,68.0,175.0,6.0,1,1
Koubek S.,73.0,Indoor,Hard,3,24.0,68.0,175.0,7.0,1,1
Koubek S.,65.0,Outdoor,Hard,5,25.0,68.0,175.0,8.0,1,1
Koubek S.,51.0,Outdoor,Hard,3,25.0,68.0,175.0,8.0,1,1
Koubek S.,54.0,Outdoor,Hard,3,26.0,68.0,175.0,9.0,1,1
Koubek S.,63.0,Indoor,Carpet,3,26.0,68.0,175.0,9.0,1,1
Koubek S.,179.0,Indoor,Carpet,3,29.0,68.0,175.0,12.0,1,0
